name,data/facebook.edges
n,747
d,586

c,time (milliseconds),space (bytes),succeed
2,384545,420156,true
3,161589,377680,true
4,98735,293332,true
5,158082,478376,true
6,97738,349380,true
7,80817,332376,true
8,83795,357804,true
9,93748,396304,true
10,103721,395580,true
11,84771,391104,true
12,84800,396600,true
13,88760,411592,true
14,86798,399208,true
15,92777,391392,true
16,76301,366380,true
17,74800,365936,true
18,74837,369288,true
19,79308,365348,true
20,88980,442232,true
